"Owner.Sales.Role.Region","Is.Deal.Registration","Billing.Country","Cloud.Data.Platform","Cloud.Provider","Stage","Opportunity.Record.Type","Plan.Type","Lead.Source","Opportunity.ARR","Amount..ACV..Currency","Amount..ACV.","Created.Date","Close.Date","Age","Days.in.Free.Trial","Days.in.Current.Stage","Free.Trial.","Trial.End.Date","Loss.Reason","Opportunity.Source","year"
"EAE - RoW UK",0,"United Kingdom","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Sales Prospecting",NA,"USD",50000,"3/19/2021","12/9/2021",265,NA,101,0,"","Unable to contact","Sales","2021"
"EAE - RoW EMEA/APAC",1,"Finland","Redshift","","7 - Closed Lost","New Logo","","Sales Prospecting",NA,"USD",40000,"8/9/2021","4/21/2022",255,NA,28,0,"","Unable to contact","Sales","2021"
"CAE - NA Central",1,"United States","Evaluating CDP","","1 - Identified","New Logo","PayGo","Consulting Partner",NA,"USD",10000,"3/24/2022","5/31/2022",56,NA,NA,0,"","","Partner","2022"
"CAE - NA Central",0,"Brazil","Snowflake","AWS","7 - Closed Lost","New Logo","PayGo","Sales Prospecting",NA,"USD",10000,"11/24/2021","4/28/2022",155,NA,21,0,"","","Sales","2021"
"CAE - North America",0,"United States","","","7 - Closed Lost","BigQuery Opportunity","","Techno-company Data Loader",NA,"USD",15700,"2/24/2021","5/6/2021",71,NA,101,0,"","Unable to contact","Inbound SDR/Marketing","2021"
"Other",0,"United States","Synapse","","7 - Closed Lost","Snowflake on Azure Opportunity","","Event",NA,"",NA,"3/19/2021","6/29/2021",102,NA,101,0,"","Change in Project Scope","Inbound SDR/Marketing","2021"
"CAE - RoW",1,"India","Other","","7 - Closed Lost","Unspecified Opportunity","","Consulting Partner",NA,"",NA,"9/10/2021","12/16/2021",97,NA,101,0,"","Unable to contact","Partner","2021"
"EAE - NA Central",0,"United States","Synapse","","7 - Closed Lost","New Logo","","Sales Prospecting",NA,"USD",33000,"3/24/2022","5/2/2022",39,NA,17,0,"","Duplicate","Outbound SDR","2022"
"CAE - RoW",1,"Netherlands","Snowflake","Azure","8 - Closed Won","New Logo","Contract","Consulting Partner",9085,"USD",10670.4,"1/13/2022","4/26/2022",103,9,23,1,"2/18/2022","","Partner","2022"
"EAE - NA Central",0,"United States","","","7 - Closed Lost","BigQuery Opportunity","","Sales Prospecting",NA,"USD",23000,"2/23/2021","8/26/2021",184,NA,101,0,"","Budget","Sales","2021"
"EAE - NA Central",0,"United States","Snowflake","Azure","1 - Identified","New Logo","","Event",NA,"USD",10000,"3/31/2022","8/24/2022",49,NA,38,0,"","","Inbound SDR/Marketing","2022"
"EAE - NA East",0,"United States","Snowflake","Azure","1 - Identified","New Logo","","Techno-company Data Loader",NA,"USD",25000,"9/10/2021","10/28/2022",251,NA,44,0,"","","Inbound SDR/Marketing","2021"
"EAE - RoW EMEA/APAC",1,"Germany","Snowflake","","7 - Closed Lost","New Logo","","Consulting Partner",NA,"",NA,"11/18/2021","2/9/2022",83,NA,99,0,"","Unable to contact","Partner","2021"
"EAE - RoW EMEA/APAC",0,"Switzerland","Redshift","AWS","1 - Identified","New Logo","Contract","Incoming Call/Email",NA,"USD",50000,"1/6/2022","9/30/2022",133,NA,101,0,"","","Sales","2022"
"EAE - RoW UK",0,"United Kingdom","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Sales Prospecting",NA,"USD",75000,"2/26/2021","7/23/2021",147,NA,101,0,"","Lost to Competitor","Sales","2021"
"CAE - RoW",0,"India","Redshift","AWS","7 - Closed Lost","Redshift Opportunity","","Organic",NA,"USD",10000,"7/30/2021","9/22/2021",54,17,101,1,"8/9/2021","Cost","Inbound SDR/Marketing","2021"
"EAE - NA West",0,"United States","Redshift","AWS","7 - Closed Lost","New Logo","","Sales Prospecting",NA,"USD",25000,"3/24/2022","5/13/2022",50,NA,6,0,"","Unable to contact","Outbound SDR","2022"
"EAE - NA West",1,"United States","Snowflake","Azure","3 - Champion Confirmed","New Logo","Contract","Consulting Partner",NA,"USD",21450,"12/7/2021","5/27/2022",163,NA,55,1,"3/28/2022","","Partner","2021"
"EAE - RoW UK",1,"United Kingdom","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Consulting Partner",NA,"USD",225000,"4/1/2021","12/8/2021",251,NA,101,0,"","Change in Project Scope","Partner","2021"
"EAE - RoW UK",0,"United Kingdom","Databricks","Azure","7 - Closed Lost","New Logo","","Marketplace",NA,"USD",50000,"7/9/2021","3/29/2022",263,NA,51,0,"","Unable to contact","Sales","2021"
"EAE - RoW EMEA/APAC",0,"Luxembourg","","","7 - Closed Lost","BigQuery Opportunity","","Event",NA,"",NA,"2/5/2021","5/11/2021",95,NA,101,0,"","Staying with Incumbent Solution","Sales","2021"
"EAE - NA West",0,"United States","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Sales Prospecting",NA,"",NA,"10/26/2021","10/26/2021",0,NA,101,0,"","Timing","Outbound SDR","2021"
"EAE - NA West",0,"United States","","AWS","8 - Closed Won","Snowflake on AWS Opportunity","Contract","Sales Prospecting",174874,"USD",538560,"12/24/2021","12/31/2021",7,NA,101,1,"1/5/2022","","Sales","2021"
"EAE - NA Central",1,"United States","Snowflake","","7 - Closed Lost","Unspecified Opportunity","","Consulting Partner",NA,"USD",23000,"6/21/2021","1/25/2022",218,NA,101,0,"","Duplicate","Partner","2021"
"EAE - NA West",0,"United States","","","7 - Closed Lost","Snowflake on GCP Opportunity","","Sales Prospecting",NA,"USD",60000,"2/10/2021","3/8/2021",26,NA,101,0,"","Staying with Incumbent Solution","Sales","2021"
"CAE - RoW",1,"France","BigQuery","","7 - Closed Lost","BigQuery Opportunity","","Consulting Partner",NA,"",NA,"7/21/2021","9/16/2021",57,NA,101,1,"7/28/2021","Lost to Competitor","Partner","2021"
"CAE - RoW",1,"Australia","Snowflake","Azure","8 - Closed Won","New Logo","PayGo","Consulting Partner",18529,"USD",4000,"11/9/2021","3/11/2022",122,NA,66,1,"3/8/2022","","Partner","2021"
"CAE - NA Northeast",0,"United States","BigQuery","GCP","7 - Closed Lost","New Logo","","Organic",NA,"USD",5000,"12/14/2021","3/1/2022",77,NA,79,0,"","Unable to contact","Inbound SDR/Marketing","2021"
"CAE - RoW",0,"Saudi Arabia","","","7 - Closed Lost","Redshift Opportunity","","Tech Partner",NA,"",NA,"2/23/2021","7/28/2021",155,NA,101,0,"","Unable to contact","Sales","2021"
"CAE - North America",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Organic",NA,"",NA,"3/22/2021","3/29/2021",7,NA,101,0,"","Missing Features","Sales","2021"
"EAE - RoW EMEA/APAC",1,"Finland","Snowflake","","7 - Closed Lost","Unspecified Opportunity","","Consulting Partner",NA,"",NA,"1/28/2021","6/29/2021",152,NA,101,0,"","Lost to Competitor","Partner","2021"
"EAE - RoW EMEA/APAC",0,"Netherlands","Redshift","","7 - Closed Lost","Synapse Opportunity","","Sales Prospecting",NA,"",NA,"4/29/2021","10/5/2021",159,NA,101,0,"","Change in Project Scope","Outbound SDR","2021"
"EAE - NA East",0,"United States","Redshift","AWS","7 - Closed Lost","Redshift Opportunity","","Event",79922,"USD",30000,"11/19/2021","12/20/2021",31,NA,101,1,"11/27/2021","Change in Project Scope","Inbound SDR/Marketing","2021"
"CAE - NA Northwest",0,"United States","Redshift","","7 - Closed Lost","New Logo","PayGo","Sales Prospecting",NA,"USD",10000,"12/20/2021","5/3/2022",134,NA,16,0,"","Lost to Competitor","Sales","2021"
"CAE - RoW",0,"India","Snowflake","","7 - Closed Lost","Redshift Opportunity","","Paid",0,"",NA,"7/22/2021","12/6/2021",137,NA,101,1,"6/16/2021","Unable to contact","Inbound SDR/Marketing","2021"
"EAE - NA Central",0,"United States","Snowflake","","8 - Closed Won","Snowflake on Azure Opportunity","Contract","Paid",NA,"USD",78624,"11/9/2021","11/30/2021",21,NA,101,0,"","","Inbound SDR/Marketing","2021"
"CAE - NA Northwest",0,"United States","Snowflake","AWS","7 - Closed Lost","New Logo","Contract","Sales Prospecting",NA,"USD",30000,"12/31/2021","3/18/2022",77,NA,62,0,"","Lost to Competitor","Sales","2021"
"CAE - North America",0,"United States","","","8 - Closed Won","Redshift Opportunity","PayGo","Sales Prospecting",2633,"USD",15700,"3/30/2021","4/30/2021",31,58,101,1,"4/22/2021","","Sales","2021"
"EAE - NA Central",0,"United States","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Event",NA,"USD",35000,"8/4/2021","10/12/2021",69,NA,101,0,"","Lost to Competitor","Outbound SDR","2021"
"Other",1,"Japan","Redshift","","7 - Closed Lost","Unspecified Opportunity","","Consulting Partner",NA,"USD",20000,"11/11/2021","12/23/2021",42,NA,92,0,"","Timing","Partner","2021"
"EAE - RoW EMEA/APAC",0,"United Kingdom","BigQuery","GCP","7 - Closed Lost","Expansion","","PPC",NA,"",NA,"12/10/2021","3/29/2022",109,NA,51,0,"","Budget","Sales","2021"
"CAE - RoW",0,"Israel","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Techno-company Data Loader",NA,"USD",10000,"6/30/2021","7/20/2021",20,12,101,1,"7/20/2021","Lost to Competitor","Inbound SDR/Marketing","2021"
"Other",0,"United States","Snowflake","Azure","8 - Closed Won","Demo/Test License","","Event",NA,"",NA,"8/9/2021","2/11/2022",186,NA,97,1,"8/12/2022","","Inbound SDR/Marketing","2021"
"CAE - NA Central",0,"Mexico","Snowflake","AWS","7 - Closed Lost","New Logo","PayGo","Organic",NA,"USD",10000,"11/15/2021","3/30/2022",135,NA,50,1,"1/26/2022","Lost to Competitor","Inbound SDR/Marketing","2021"
"CAE - NA Northeast",0,"United States","Evaluating CDP","Azure","1 - Identified","New Logo","PayGo","Paid",NA,"USD",10000,"2/23/2022","6/30/2022",85,NA,85,0,"","","Inbound SDR/Marketing","2022"
"CAM - NA",0,"United States","Snowflake","","8 - Closed Won","Snowflake on AWS Opportunity","PayGo","Organic",22876,"USD",10000,"6/21/2021","6/30/2021",9,10,101,1,"7/2/2021","","Inbound SDR/Marketing","2021"
"CAE - NA Southeast",1,"United States","Snowflake","","8 - Closed Won","Snowflake on AWS Opportunity","Contract","Consulting Partner",8222,"USD",10000,"5/7/2021","9/9/2021",125,5,101,1,"9/23/2021","","Partner","2021"
"EAE - RoW EMEA/APAC",0,"Denmark","","","7 - Closed Lost","Snowflake on Azure Opportunity","","Sales Prospecting",NA,"",NA,"4/29/2021","6/30/2021",62,NA,101,0,"","Lost to Competitor","Sales","2021"
"EAE - NA Central",0,"United States","Snowflake","AWS","7 - Closed Lost","New Logo","","Paid",NA,"USD",20000,"3/24/2022","5/5/2022",42,NA,14,0,"","Duplicate","Inbound SDR/Marketing","2022"
"EAE - RoW UK",0,"United Kingdom","Snowflake","Azure","3 - Champion Confirmed","New Logo","","Organic",NA,"USD",35000,"12/31/2021","1/27/2023",139,NA,93,0,"","","Inbound SDR/Marketing","2021"
"CAE - North America",0,"Canada","Snowflake","","8 - Closed Won","Snowflake on Azure Opportunity","PayGo","Techno-company Data Loader",524,"USD",10000,"3/18/2021","4/23/2021",36,16,101,1,"4/16/2021","","Inbound SDR/Marketing","2021"
"EAE - NA Central",1,"United States","Snowflake","AWS","1 - Identified","New Logo","","Consulting Partner",NA,"",NA,"8/6/2021","8/30/2022",286,NA,101,0,"","","Partner","2021"
"CAE - NA Southeast",1,"United States","Snowflake","","7 - Closed Lost","New Logo","","Consulting Partner",NA,"USD",10000,"11/22/2021","3/29/2022",127,NA,51,0,"","Decided to use Partner","Partner","2021"
"CAM - NA",1,"United States","Snowflake","AWS","1 - Identified","Expansion","","Consulting Partner",NA,"USD",20000,"12/28/2021","6/30/2022",142,NA,101,0,"","","Partner","2021"
"Other",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Organic",NA,"USD",10000,"3/19/2021","6/2/2021",75,NA,101,0,"","Lost to Competitor","Inbound SDR/Marketing","2021"
"CAE - RoW",1,"New Zealand","Snowflake","AWS","8 - Closed Won","New Logo","Contract","Consulting Partner",69293,"USD",50250,"7/15/2021","2/28/2022",228,112,80,1,"1/27/2022","","Partner","2021"
"EAE - NA East",1,"United States","BigQuery","GCP","1 - Identified","New Logo","Contract","",NA,"USD",50000,"10/25/2021","6/30/2022",206,0,101,0,"","","Sales","2021"
"CAE - NA Northeast",0,"United States","Snowflake","AWS","7 - Closed Lost","New Logo","","Sales Prospecting",NA,"USD",25000,"1/6/2022","3/9/2022",62,NA,71,0,"","Staying with Incumbent Solution","Sales","2022"
"CAE - RoW",1,"United Kingdom","Other","","7 - Closed Lost","New Logo","","Consulting Partner",NA,"",NA,"6/22/2021","2/18/2022",241,NA,90,0,"","Timing","Partner","2021"
"EAE - RoW EMEA/APAC",1,"Switzerland","Databricks","Azure","2 - Trial","New Logo","Contract","Consulting Partner",NA,"USD",30000,"5/18/2021","9/30/2022",366,NA,101,1,"12/9/2021","","Partner","2021"
"CAE - RoW",0,"Denmark","","","7 - Closed Lost","BigQuery Opportunity","","Marketplace",NA,"USD",10000,"10/28/2021","11/8/2021",11,11,101,0,"","Change in Project Scope","Inbound SDR/Marketing","2021"
"CAE - NA Northwest",1,"United States","Snowflake","","7 - Closed Lost","New Logo","","Consulting Partner",NA,"USD",10000,"1/6/2022","2/11/2022",36,NA,97,0,"","Duplicate","Partner","2022"
"CAE - North America",0,"United States","","","7 - Closed Lost","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"6/22/2021","7/14/2021",22,NA,101,0,"","Change in Project Scope","Sales","2021"
"CAE - RoW",0,"Sweden","Redshift","","7 - Closed Lost","Redshift Opportunity","","Organic",NA,"",NA,"2/8/2021","6/23/2021",135,NA,101,0,"","Org Structure Changes","Inbound SDR/Marketing","2021"
"Other",0,"United States","Evaluating CDP","","0 - Discovery","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"3/24/2022","4/30/2022",56,NA,NA,0,"","","Outbound SDR","2022"
"EAE - NA Central",0,"United States","Snowflake","Azure","7 - Closed Lost","New Logo","","Organic",NA,"USD",9000,"12/17/2021","2/25/2022",70,NA,83,1,"12/22/2021","Duplicate","Inbound SDR/Marketing","2021"
"CAE - NA Southeast",1,"United States","Microsoft","","7 - Closed Lost","Snowflake on Azure Opportunity","","Consulting Partner",1005,"USD",10000,"6/21/2021","11/30/2021",162,146,101,1,"7/28/2021","Change in Project Scope","Partner","2021"
"CAE - RoW",0,"Switzerland","Snowflake","AWS","7 - Closed Lost","Unspecified Opportunity","","Organic",NA,"USD",10000,"8/2/2021","1/6/2022",157,157,101,1,"8/3/2021","Change in Project Scope","Inbound SDR/Marketing","2021"
"EAE - NA West",0,"United States","Redshift","","7 - Closed Lost","Redshift Opportunity","","Techno-company Data Loader",NA,"",NA,"11/22/2021","2/1/2022",71,NA,101,1,"5/17/2022","Unable to contact","Inbound SDR/Marketing","2021"
"EAE - NA Central",0,"United States","Snowflake","AWS","1 - Identified","New Logo","","Event",NA,"USD",30000,"12/15/2021","7/20/2022",155,NA,101,1,"2/8/2022","","Inbound SDR/Marketing","2021"
"EAE - NA Central",0,"Canada","Synapse","","7 - Closed Lost","Databricks Opportunity","","Techno-company Data Loader",NA,"",NA,"3/18/2021","9/8/2021",174,NA,101,1,"4/9/2021","Unable to contact","Inbound SDR/Marketing","2021"
"EAE - RoW EMEA/APAC",1,"Netherlands","Snowflake","","7 - Closed Lost","Redshift Opportunity","","Sales Prospecting",NA,"",NA,"7/21/2021","12/22/2021",154,NA,101,0,"","Unable to contact","Outbound SDR","2021"
"EAE - RoW UK",0,"United Kingdom","Synapse","","1 - Identified","New Logo","Contract","Sales Prospecting",NA,"USD",50000,"11/2/2021","5/23/2022",198,NA,101,0,"","","Sales","2021"
"CAE - NA Central",0,"Canada","Redshift","AWS","7 - Closed Lost","New Logo","","Organic",NA,"",NA,"12/23/2021","2/11/2022",50,NA,97,1,"12/28/2021","Unable to contact","Inbound SDR/Marketing","2021"
"EAE - NA West",0,"United States","BigQuery","","8 - Closed Won","Consultancy Opportunity","Contract","Consulting Partner",NA,"USD",19800,"6/22/2021","8/6/2021",45,NA,101,0,"","","Sales","2021"
"EAE - RoW EMEA/APAC",0,"Germany","On-Premise","","1 - Identified","New Logo","","Paid",NA,"USD",25000,"3/18/2021","12/30/2022",427,NA,101,0,"","","Inbound SDR/Marketing","2021"
"CAE - RoW",0,"United Kingdom","BigQuery","","7 - Closed Lost","BigQuery Opportunity","","Organic",NA,"USD",10000,"5/21/2021","10/8/2021",140,NA,101,0,"","Change in Project Scope","Inbound SDR/Marketing","2021"
"EAE - RoW UK",0,"United Kingdom","Snowflake","Azure","1 - Identified","New Logo","","Event",NA,"USD",25000,"4/28/2021","6/30/2022",386,NA,101,0,"","","Inbound SDR/Marketing","2021"
"EAE - NA Central",0,"United States","Databricks","","1 - Identified","New Logo","","Paid",NA,"",NA,"10/22/2021","8/30/2022",209,NA,101,0,"","","Outbound SDR","2021"
"EAE - RoW EMEA/APAC",1,"Australia","Snowflake","AWS","8 - Closed Won","New Logo","Contract","Sales Prospecting",8872,"USD",9108,"12/2/2021","5/6/2022",155,1,13,0,"","","Sales","2021"
"EAE - RoW UK",0,"United Kingdom","Snowflake","Azure","1 - Identified","New Logo","","Event",NA,"USD",50000,"8/9/2021","12/31/2022",283,NA,101,0,"","","Sales","2021"
"EAE - RoW UK",0,"United Kingdom","Snowflake","Azure","7 - Closed Lost","New Logo","","Sales Prospecting",NA,"",NA,"10/20/2021","3/29/2022",160,NA,51,0,"","Budget","Sales","2021"
"CAE - NA Northwest",0,"United States","","","7 - Closed Lost","Unspecified Opportunity","","List Import",NA,"",NA,"12/9/2021","12/23/2021",14,NA,101,0,"","Duplicate","Sales","2021"
